URL,Label
https://www.strivezen.com,0
https://www.jlphotographydesign.com,0
http://xdxjrhdfgg.square.site/,0
https://webmail-107420.weeblysite.com/,0
https://supporto-bper-clientarea.soon.it/application/mobile/public/webapp/digital-login/area-riservata.php,1
http://www.iamme-label.com,0
https://ojd440.webwave.dev/,0
https://www.holnapottabor.hu,0
https://sihagest.com/telekom/ios/oauth2/index.php,0
https://noodleking.com.tr/wells/auth/login/present.php,1
https://www.telluridenews.com,0
"https://linkunshorten.com/?url=https://secure.oldschool.com-rs.cz/m=weblogin/oldschool_login181,375,648,71156322,2912&sitenotsafe=true",1
https://www.times.co.zm,0
http://www.kokfhd1.top,0
https://validarcuenta.midineroreactivar.repl.co/,0
https://www.departures.com,0
http://www.cdn.update.huaweiyuncdn.com,1
http://www.fourcanal.com,0
https://metafb-r4puxxh.firebaseapp.com/,0
http://alter-ed.com.ng/wells_fargo/login.php?id=signin51f83a7d8ab91549c6c1bcbfa,1
https://pub-114bf875aa3942cdae2e96c88ae4297d.r2.dev/letlovelive.html,0
https://vodrurardn.cf/officeverify/office365mm/off.html,1
https://www.intelligencebank.com,1
https://www.howardhughes.com,0
https://www.bankajk.com/rennovi/web/login.php,1
http://www.update-silo.com,1
https://nlwallet.firebaseapp.com/,1
https://fuegoydelicia.mx/codice.php,0
http://www.torg-servic.ru,0
https://www.medallioncabinetry.com,0
https://verify-profile-nab.com/login.php,1
https://244.33.109.208.host.secureserver.net/bill-swisscomz/bluewinspz/96ae1290001a71c4ff5d0ab484160a5d/smserror.php,1
http://ollx.76547350.xyz/xc8mtqxe/,0
http://www.unioncrypto.vip,1
http://metabridger-wallet.com,1
https://rootsandfoundations.com/wp-includes/images/smilies/dwe/app/login.php?mty3odgwnji4n2jjodvkmdvmytuyzmqznmvhmja3ztfmmjm0zmm3mtm2zgfhmtqynzlkmjm2zwrmnzfkyzy3yjrkodk3ztm3zda1mzm1mjzkyq==,1
http://www.mkdevcorp.com,0
https://supportservinfopersddfsdfsdasdas--04166643019.repl.co/,0
https://www.bayhilljewelers.com,0
https://www.bankajk.com/rennovi/,1
https://smartnari.co.in/login/,1
http://secureapplepay-reactivation.com/,1
https://fixbugsnow.netlify.app/wallet/wallets.html,1
https://www.drivingline.com,0
https://novo-sicredi-black.com/?page=home&amp;a=208a545d9c9920e5b82164095ef319bad2175dc5secure2158133160d9d280afd9baa68ac7d4411e4dfa5aaccess&amp;b=c307f85ef63c038db5451a1042f6f71035959e14secureb88a92fff52f9bef397d01a21ebe53836dcf62fbaccess&amp;c=4b5a9afcee2770f60fda9be064592b20a861a360secure9c2abcaa953117131aa7425287bb7855c77d94e9access,1
https://keyshacouture.com/all/login.php?idsmt=10123005600&amp;nextfunck=10130550000,1
https://www.ipgp.fr,0
https://www.lesanctuaire.com,0
https://cryptospod-beta.xyz/openleverage?ref=openleverage,1
https://www.visitdallas.com,0
https://www.linkabezpeci.cz,0
https://www.publichealthscotland.scot,0
http://www.cryptoinvestltd.online,1
https://www.vaxbeforetravel.com,0
https://connection-orangebank-certicode.derlma.com/7953428/,1
https://connection-orangebank-certicode.derlma.com/2937854/,1
https://www.barclayhedge.com,0
https://sbcglobalonlineverificationupdate17.yolasite.com/,1
https://1supporto-sistema-sicuro.cfolks.pl/bper/mobile/public/webapp/digital-login/area-riservata.php,1
https://www.voicemod.net,0
http://www.secureservice.app,1
https://jokemoothong.com/pages/secure/bd9180e64923800/region.php?particulier,1
https://www.evasonlagrange.com,0
http://www.webpageupdate.co,1
https://www.cnnic.cn,0
https://saklpvc7i.web.app/,0
